Weapon key,Unused,price,buildPoints,weight,Unused,Unused,HP,GfxFile,MountGfx,muzzleGfx,flightGfx,hitGfx,missGfx,waterGfx,trailGfx,shortRange,longRange,shortHit,longHit,firePause,Unused,numRounds,reloadTime,damage,splash radius,splash chance,splash damage,incenTime,incenDamage,incenRadius,directLife,radiusLife,flightSpeed,Unused,fireOnMove,weaponClass,weaponSubClass,movement,weaponEffect,rotate,maxElevation,minElevation,facePlayer,faceInFlight,recoilValue,minRange,LightWorld,effectSize,surfaceToAir,numAttackRuns,designable,penetrate,targeting
FK-SF-BombHeavy,Level All,150,30000,1800,1,1,500,0,trmvtlhe.PIE,FXLRocPd.PIE,Fxmbmbx2.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,384,512,90,80,50,1,0,0,1337,128,100,500,0,0,0,0,0,700,20,YES,KINETIC,HEAVY BOMB,ERRATIC-DIRECT,BUNKER BUSTER,180,0,-90,YES,NO,0,0,NO,255,0,2,1,0,0
FK-SF-BombHeavy2,Level All,150,30000,1500,1,1,500,0,trmvtlhe.PIE,FXLRocPd.PIE,Fxmbmbx2.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,384,512,90,80,50,1,0,0,1337,128,100,500,0,0,0,0,0,700,20,YES,KINETIC,HEAVY BOMB,ERRATIC-DIRECT,BUNKER BUSTER,180,0,-90,YES,NO,0,0,NO,255,0,2,1,0,0
FK-SF-BombHeavy3,Level All,150,30000,1300,1,1,500,0,trmvtlhe.PIE,FXLRocPd.PIE,Fxmbmbx2.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,384,512,90,80,50,1,0,0,1337,128,100,500,0,0,0,0,0,700,20,YES,KINETIC,HEAVY BOMB,ERRATIC-DIRECT,BUNKER BUSTER,180,0,-90,YES,NO,0,0,NO,255,0,2,1,0,0
FK-SF-Cannon-Cyborg,Level All,80,18000,100,1,1,250,cy_CAN.pie,Cybody.pie,FXCan20m.PIE,FXcam20.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,896,1280,70,60,130,1,0,0,900,32,100,150,0,0,0,0,0,2500,20,NO,KINETIC,CANNON,DIRECT,ANTI TANK,180,25,-25,YES,NO,50,32,NO,75,100,0,1,0,0
FK-SF-Cannon-Cyborg2,Level All,80,18000,100,1,1,250,cy_CAN.pie,Cybody.pie,FXCan20m.PIE,FXcam20.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,896,1280,70,60,130,1,0,0,900,32,100,150,0,0,0,0,0,2500,20,PARTIAL,KINETIC,CANNON,DIRECT,ANTI TANK,180,25,-25,YES,NO,50,32,NO,75,100,0,1,0,0
FK-SF-Cannon-Cyborg3,Level All,80,18000,100,1,1,250,cy_CAN.pie,Cybody.pie,FXCan20m.PIE,FXcam20.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXSSplsh.PIE,0,896,1280,70,60,130,1,0,0,900,32,100,150,0,0,0,0,0,2500,20,YES,KINETIC,CANNON,DIRECT,ANTI TANK,180,25,-25,YES,NO,50,32,NO,75,100,0,1,0,0
FK-SF-Cannon-Structure,Level All,1,1,80000,1,1,1,GNMCAN.PIE,TRMCAN.PIE,FXCan40m.PIE,FXCAmmo.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXMSteam.PIE,0,896,1280,70,60,130,1,0,0,1050,48,100,200,0,0,0,0,0,2500,20,NO,KINETIC,CANNON,DIRECT,ANTI TANK,180,25,-25,YES,NO,50,48,NO,75,100,0,0,0,0
FK-SF-Cannon-Structure2,Level All,1,1,80000,1,1,1,GNMCAN.PIE,TRMCAN.PIE,FXCan40m.PIE,FXCAmmo.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXMSteam.PIE,0,896,1280,70,60,130,1,0,0,1050,64,100,250,0,0,0,0,0,2500,20,NO,KINETIC,CANNON,DIRECT,ANTI TANK,180,25,-25,YES,NO,50,48,NO,75,100,0,0,0,0
FK-SF-Cannon-Structure3,Level All,1,1,80000,1,1,1,GNMCAN.PIE,TRMCAN.PIE,FXCan40m.PIE,FXCAmmo.PIE,FXGRDexl.PIE,FXGRDexl.PIE,FXMSteam.PIE,0,896,1408,70,60,130,1,0,0,1050,64,100,250,0,0,0,0,0,2500,20,NO,KINETIC,CANNON,DIRECT,ANTI TANK,180,25,-25,YES,NO,50,48,NO,75,100,0,0,0,0
FK-SF-Railgun,Level All,150,27000,2200,1,1,500,GNMGSS.PIE,TRMGSS.PIE,FXMGauss.PIE,FXGammoM.PIE,Fxflech2.PIE,Fxflech2.PIE,FXMSWave.PIE,0,1337,1664,75,65,150,1,0,0,1337,0,0,0,0,0,0,0,0,4000,20,YES,KINETIC,GAUSS,DIRECT,ANTI TANK,180,15,-15,YES,NO,0,0,NO,75,100,0,1,0,0
FK-SF-Railgun2,Level All,150,27000,2200,1,1,500,GNMGSS.PIE,TRMGSS.PIE,FXMGauss.PIE,FXGammoM.PIE,Fxflech2.PIE,Fxflech2.PIE,FXMSWave.PIE,0,1337,1664,75,65,150,1,0,0,1337,0,0,0,0,0,0,0,0,4000,20,YES,KINETIC,GAUSS,DIRECT,ANTI TANK,180,15,-15,YES,NO,0,0,NO,75,100,0,1,1,0
FK-SPL-BombCluster,Level All,150,30000,1500,1,1,500,0,trlvtlhe.PIE,FXLRocPd.PIE,Fxlbmbx1.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,768,1024,30,30,1,1,5,50,250,128,100,350,0,0,0,0,0,700,20,YES,KINETIC,CLUSTER BOMB,ERRATIC-DIRECT,ANTI PERSONNEL,180,0,-90,YES,NO,0,0,NO,255,0,2,1,0,0
FK-SPL-BombCluster2,Level All,150,30000,1500,1,1,500,0,trlvtlhe.PIE,FXLRocPd.PIE,Fxlbmbx1.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,768,1024,30,30,1,1,5,50,250,192,100,350,0,0,0,0,0,700,20,YES,KINETIC,CLUSTER BOMB,ERRATIC-DIRECT,ANTI PERSONNEL,180,0,-90,YES,NO,0,0,NO,255,0,2,1,0,0
FK-SPL-BombCluster3,Level All,150,30000,1500,1,1,500,0,trlvtlhe.PIE,FXLRocPd.PIE,Fxlbmbx1.PIE,FXLExp.PIE,FXLExp.PIE,FXMSplsh.PIE,0,768,1024,30,30,1,1,6,50,250,192,100,350,0,0,0,0,0,700,20,YES,KINETIC,CLUSTER BOMB,ERRATIC-DIRECT,ANTI PERSONNEL,180,0,-90,YES,NO,0,0,NO,255,0,2,1,0,0
FK-SPL-GrenadeLauncher-Cyborg,Level All,90,20000,100,1,1,250,cy_gren.pie,Cybody.pie,FxCan75m.PIE,FXTracer.PIE,FXLExp.PIE,FXLExp.PIE,FXLSplsh.PIE,0,1280,1536,50,40,150,1,0,0,200,256,100,450,0,0,0,0,0,1500,20,YES,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,180,90,0,YES,NO,10,192,NO,150,0,0,1,0,0
FK-SPL-GrenadeLauncher-Cyborg2,Level All,90,20000,100,1,1,250,cy_gren.pie,Cybody.pie,FxCan75m.PIE,FXTracer.PIE,FXLExp.PIE,FXLExp.PIE,FXLSplsh.PIE,0,1280,1536,50,40,150,1,0,0,200,288,100,450,0,0,0,0,0,1500,20,YES,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,180,90,0,YES,NO,10,192,NO,150,0,0,1,0,0
FK-SPL-GrenadeLauncher-Cyborg3,Level All,90,20000,100,1,1,250,cy_gren.pie,Cybody.pie,FxCan75m.PIE,FXTracer.PIE,FXLExp.PIE,FXLExp.PIE,FXLSplsh.PIE,0,1280,1536,50,40,150,1,0,0,200,320,100,450,0,0,0,0,0,1500,20,YES,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,180,90,0,YES,NO,10,192,NO,150,0,0,1,0,0
FK-SPL-GrenadeLauncher-TankStructure,Level All,150,25000,1500,1,1,500,GNHMORT2.PIE,TRHRMORT.PIE,FXMMort.PIE,FXCAmmo.PIE,FXMNExp.PIE,FXLExp.PIE,FXMNExp.PIE,0,1280,1536,60,50,150,1,0,0,250,256,100,550,0,0,0,0,0,1500,20,YES,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,180,90,0,YES,NO,10,192,NO,150,0,0,1,0,0
FK-SPL-GrenadeLauncher-TankStructure2,Level All,150,25000,1500,1,1,500,GNHMORT2.PIE,TRHRMORT.PIE,FXMMort.PIE,FXCAmmo.PIE,FXMNExp.PIE,FXLExp.PIE,FXMNExp.PIE,0,1280,1536,60,50,150,1,0,0,250,288,100,550,0,0,0,0,0,1500,20,YES,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,180,90,0,YES,NO,10,192,NO,150,0,0,1,0,0
FK-SPL-GrenadeLauncher-TankStructure3,Level All,150,25000,1500,1,1,500,GNHMORT2.PIE,TRHRMORT.PIE,FXMMort.PIE,FXCAmmo.PIE,FXMNExp.PIE,FXLExp.PIE,FXMNExp.PIE,0,1280,1536,60,50,150,1,0,0,250,320,100,550,0,0,0,0,0,1500,20,YES,KINETIC,MORTARS,INDIRECT,ARTILLERY ROUND,180,90,0,YES,NO,10,192,NO,150,0,0,1,0,0
